cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,ecwin_inc,ecwin_chal,ecwin_3rd,ec_nomajority,popwin_inc,popwin_chal,popwin_3rd,ev_inc,ev_chal,ev_3rd,ev_inc_hi,ev_chal_hi,ev_3rd_hi,ev_inc_lo,ev_chal_lo,ev_3rd_lo,national_voteshare_inc,national_voteshare_chal,national_voteshare_3rd,nat_voteshare_other,national_voteshare_inc_hi,national_voteshare_chal_hi,national_voteshare_3rd_hi,nat_voteshare_other_hi,national_voteshare_inc_lo,national_voteshare_chal_lo,national_voteshare_3rd_lo,nat_voteshare_other_lo,national_turnout,national_turnout_hi,national_turnout_lo,timestamp,simulations
2020,President,polls-plus,10/21/2020,Trump,Biden,,0.12375,0.87125,,0.005,0.0412,0.9588,,192.5711,345.4289,,280,422,,116,258,,45.30172,53.44445,,1.25383,48.22498,56.35662,,1.896766,42.39598,50.50661,,0.6886357,1.43E+08,1.53E+08,1.33E+08,10/21/2020 13:14,40000
2020,President,polls-plus,10/20/2020,Trump,Biden,,0.12485,0.870675,,0.004475,0.042275,0.957725,,192.3522,345.6478,,280,424,,114,258,,45.26448,53.47827,,1.257245,48.23416,56.43481,,1.902716,42.30985,50.49361,,0.6899054,1.43E+08,1.53E+08,1.33E+08,10/20/2020 21:36,40000
2020,President,polls-plus,10/19/2020,Trump,Biden,,0.120425,0.875,,0.004575,0.040675,0.959325,,190.336,347.664,,279,426,,112,259,,45.17442,53.57301,,1.25257,48.1834,56.56211,,1.900372,42.18653,50.55529,,0.6836989,1.43E+08,1.53E+08,1.33E+08,10/19/2020 21:55,40000
2020,President,polls-plus,10/18/2020,Trump,Biden,,0.121775,0.87355,,0.004675,0.0418,0.9582,,191.2572,346.7427,,279,425,,113,259,,45.17662,53.57382,,1.249555,48.21889,56.60146,,1.899508,42.14919,50.52079,,0.6792043,1.43E+08,1.53E+08,1.33E+08,10/18/2020 21:11,40000
2020,President,polls-plus,10/17/2020,Trump,Biden,,0.12235,0.87365,,0.004,0.04375,0.95625,,191.3031,346.6969,,280,426,,112,258,,45.17821,53.57002,,1.251769,48.253,56.63504,,1.903847,42.1105,50.48,,0.6796591,1.43E+08,1.53E+08,1.33E+08,10/17/2020 19:17,40000
2020,President,polls-plus,10/16/2020,Trump,Biden,,0.129225,0.8677,,0.003075,0.045975,0.954025,,192.213,345.787,,283,426,,112,255,,45.22214,53.52393,,1.253931,48.32899,56.62143,,1.907859,42.12756,50.40108,,0.6802757,1.43E+08,1.53E+08,1.33E+08,10/16/2020 21:08,40000
2020,President,polls-plus,10/15/2020,Trump,Biden,,0.1295,0.867025,,0.003475,0.04715,0.95285,,192.0065,345.9936,,283,426,,112,255,,45.22849,53.52165,,1.249865,48.36061,56.64082,,1.905437,42.1101,50.37309,,0.6751865,1.43E+08,1.53E+08,1.33E+08,10/15/2020 20:38,40000
2020,President,polls-plus,10/14/2020,Trump,Biden,,0.130775,0.8657,,0.003525,0.050875,0.949125,,192.1605,345.8395,,283,426,,112,255,,45.27099,53.47211,,1.256896,48.44166,56.63706,,1.914557,42.11092,50.28674,,0.6802051,1.43E+08,1.53E+08,1.33E+08,10/14/2020 21:42,40000
2020,President,polls-plus,10/13/2020,Trump,Biden,,0.129775,0.866625,,0.0036,0.05085,0.94915,,191.7341,346.2659,,284,427,,111,254,,45.2369,53.51113,,1.251966,48.438,56.7049,,1.911543,42.04291,50.29504,,0.6740981,1.41E+08,1.51E+08,1.31E+08,10/13/2020 23:16,40000
2020,President,polls-plus,10/12/2020,Trump,Biden,,0.134325,0.8621,,0.003575,0.0549,0.9451,,191.9522,346.0478,,285,428,,110,253,,45.28416,53.46163,,1.254209,48.52246,56.69149,,1.915702,42.05617,50.20482,,0.6747431,1.41E+08,1.51E+08,1.31E+08,10/12/2020 21:07,40000
