cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/30/2020,10/27/2020,SurveyMonkey,713,lv,.3625975,.3625975,32,30.69764,30.75803,T,72088,135215
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/28/2020,10/25/2020,SurveyMonkey,654,lv,.02344,.0227793,31,29.71195,29.79211,T,71978,134981
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,649,lv,.0224095,.0216515,31,29.71195,29.80165,T,71893,134807
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/26/2020,10/23/2020,SurveyMonkey,638,lv,0,0,31,29.71195,29.81188,T,71826,134672
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,616,lv,.01092,.0102429,30,28.72705,28.87328,T,71765,134541
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,605,lv,.010709,.0099846,31,29.71195,29.87057,T,71682,134342
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/23/2020,10/20/2020,SurveyMonkey,597,lv,.010554,.0097806,32,30.69764,30.87202,T,71569,134117
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/22/2020,10/19/2020,SurveyMonkey,579,lv,.0102252,.0094182,32,30.69764,30.88515,T,71467,133905
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,558,lv,.0098463,.0090137,33,31.68411,31.89039,T,71382,133721
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,553,lv,.0097521,.0088726,33,31.68411,31.90789,T,71300,133560
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,531,lv,.0093605,.0084635,33,31.68411,31.92623,T,71242,133443
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,499,lv,.0087947,.0079024,34,32.67136,32.93351,T,71181,133316
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/16/2020,10/14/2020,SurveyMonkey,450,lv,.0153154,.0136751,36,34.64817,34.93223,T,71107,133166
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,416,lv,0,0,36,34.64817,34.95378,T,71013,132959
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,409,lv,.0072136,.0063597,35,33.65939,33.98561,T,70975,132805
